## DRUG_ID - name or ID of drug of interest - must be the same for all data points,,
## DepMap_ID - ID of cell line as identified by the Genomics of Drug Sensitivity in Cancer Project,,
## IC50 - half maximal inhibitory drug concentration for each cell line,,
##,,
DRUG_ID,DepMap_ID,IC50
Example drug,ACH-000374,3.831724642
Example drug,ACH-000111,5.680191801
Example drug,ACH-000699,0.099352813
Example drug,ACH-000196,0.044749098
Example drug,ACH-000223,1.252217526
Example drug,ACH-000691,0.177585872
Example drug,ACH-000755,2.87030128
Example drug,ACH-000276,0.125157667
Example drug,ACH-000971,0.050503078
Example drug,ACH-000997,0.056705277
Example drug,ACH-000552,0.117185515
Example drug,ACH-000147,0.404038544
Example drug,ACH-000019,0.324272846
Example drug,ACH-000288,0.290402612
Example drug,ACH-000148,0.75033763
Example drug,ACH-000768,0.107834676
Example drug,ACH-001039,0.35185469
Example drug,ACH-000651,0.045372095
Example drug,ACH-001081,0.282161691
Example drug,ACH-000969,0.123045632
Example drug,ACH-000536,0.103993176
Example drug,ACH-000212,0.315837323
Example drug,ACH-000258,0.013966342
Example drug,ACH-000330,1.18517566
Example drug,ACH-001065,0.281241373
Example drug,ACH-000277,2.331052774
Example drug,ACH-000930,1.110613983
Example drug,ACH-000624,0.048908504
Example drug,ACH-000668,1.129249215
Example drug,ACH-000926,0.687573875
Example drug,ACH-000986,0.201571323
Example drug,ACH-001345,0.033998496
Example drug,ACH-000950,0.03989537
Example drug,ACH-000501,1.006063308
Example drug,ACH-000985,0.317819712
Example drug,ACH-000007,0.05259822
Example drug,ACH-000934,0.383152959
Example drug,ACH-000910,0.133369341
Example drug,ACH-000849,0.077751301
Example drug,ACH-002163,0.106103314
Example drug,ACH-000360,0.031835731
Example drug,ACH-000403,0.633890533
Example drug,ACH-000491,0.930432265
Example drug,ACH-002179,0.139769031
Example drug,ACH-000565,0.168093821
Example drug,ACH-000943,0.026455373
Example drug,ACH-000400,0.004836094
Example drug,ACH-001199,1.069760723
Example drug,ACH-000236,1.970154567
Example drug,ACH-000470,0.117283992
Example drug,ACH-000958,0.022714632
Example drug,ACH-000421,0.422033325
Example drug,ACH-000680,0.080164781
Example drug,ACH-000381,0.10837921
Example drug,ACH-000554,0.591722798
Example drug,ACH-000828,13.98892577
Example drug,ACH-000998,0.080383849
Example drug,ACH-002219,0.197470119
Example drug,ACH-000350,62.33200389
Example drug,ACH-000009,1.655139011
Example drug,ACH-000248,0.04327345
Example drug,ACH-000857,0.308026334
Example drug,ACH-000722,0.788517247
Example drug,ACH-000856,0.029567101
Example drug,ACH-000252,0.3499332
Example drug,ACH-000902,0.009232956
Example drug,ACH-000876,1.770708944
Example drug,ACH-000621,0.538744417
Example drug,ACH-000927,35.04959295
Example drug,ACH-000783,0.532345268
Example drug,ACH-000818,8.291542339
Example drug,ACH-000957,0.056886058
Example drug,ACH-000963,0.077829324
Example drug,ACH-000798,0.020884229
Example drug,ACH-000573,0.194898572
Example drug,ACH-000935,0.026121358
Example drug,ACH-000249,0.200884332
Example drug,ACH-000895,0.068429586
Example drug,ACH-000117,4.185130976
Example drug,ACH-000352,14.93109573
Example drug,ACH-000643,0.277036781
Example drug,ACH-000711,0.407450837
Example drug,ACH-000349,0.33776395
Example drug,ACH-001358,7.709960004
Example drug,ACH-000999,2.12640551
Example drug,ACH-000989,0.032973403
Example drug,ACH-000955,0.240361077
Example drug,ACH-000991,0.716166928
Example drug,ACH-000970,0.081871691
Example drug,ACH-002233,0.225775757
Example drug,ACH-002270,0.174456125
Example drug,ACH-001711,0.13449221
Example drug,ACH-000052,0.006996558
Example drug,ACH-002106,0.081291892
Example drug,ACH-002108,0.005303199
Example drug,ACH-002111,0.012614151
Example drug,ACH-000087,0.006037586
Example drug,ACH-000644,0.299181161
Example drug,ACH-000905,0.098812615
Example drug,ACH-000242,0.060906401
Example drug,ACH-000384,0.192467879
Example drug,ACH-000720,0.154818162
Example drug,ACH-001333,0.026228439
Example drug,ACH-001334,0.175741696
Example drug,ACH-001359,0.027477137
Example drug,ACH-000323,0.054655469
Example drug,ACH-000137,0.010210058
Example drug,ACH-000558,0.044672374
Example drug,ACH-000738,0.042873258
Example drug,ACH-000571,0.092868292
Example drug,ACH-000040,0.04215188
Example drug,ACH-000075,0.05223581
Example drug,ACH-002174,2.186051613
Example drug,ACH-000392,0.136242622
Example drug,ACH-000662,0.245771263
Example drug,ACH-000769,0.842087795
Example drug,ACH-000744,0.015358503
Example drug,ACH-000766,0.059731784
Example drug,ACH-000035,2.088639715
Example drug,ACH-000021,2.433094734
Example drug,ACH-000733,2.65264167
Example drug,ACH-000451,1.212540809
Example drug,ACH-000481,0.019037968
Example drug,ACH-000447,0.056595432
Example drug,ACH-000951,1.470752243
Example drug,ACH-000875,8.164708299
Example drug,ACH-000121,1.421381094
Example drug,ACH-000853,1.430673053
Example drug,ACH-000187,0.017116318
Example drug,ACH-000530,0.282734213
Example drug,ACH-000749,0.079353637
Example drug,ACH-000866,0.015017471
Example drug,ACH-000514,0.560032758
Example drug,ACH-001591,0.011926983
Example drug,ACH-000431,0.011213981
Example drug,ACH-000729,0.06311764
Example drug,ACH-000298,0.181611407
Example drug,ACH-000290,0.003814342
Example drug,ACH-001138,0.390479035
Example drug,ACH-000610,0.131116112
Example drug,ACH-001364,1.575506803
Example drug,ACH-000800,0.132315772
Example drug,ACH-000767,0.006890718
Example drug,ACH-001599,6.024894688
Example drug,ACH-000358,0.173822259
Example drug,ACH-000355,0.055143743
Example drug,ACH-000153,0.153032647
Example drug,ACH-000366,0.01402173
Example drug,ACH-000341,0.133933215
Example drug,ACH-001702,0.033207285
Example drug,ACH-001233,3.646573647
Example drug,ACH-000670,0.024995662
Example drug,ACH-001549,0.088853796
Example drug,ACH-000149,0.055033675
Example drug,ACH-000311,0.045712523
Example drug,ACH-000945,0.070939137
Example drug,ACH-000050,0.027151065
Example drug,ACH-000260,0.083087252
Example drug,ACH-000510,0.099629497
Example drug,ACH-000841,0.037859967
Example drug,ACH-000522,0.021016194
Example drug,ACH-001402,0.140336103
Example drug,ACH-000775,1.218254382
Example drug,ACH-000264,0.093564055
Example drug,ACH-000438,0.095477563
Example drug,ACH-000666,2.633279427
Example drug,ACH-000496,0.027295402
Example drug,ACH-000094,0.743353926
Example drug,ACH-000601,0.067191939
Example drug,ACH-000790,0.298999314
Example drug,ACH-000886,0.057489383
Example drug,ACH-000677,0.092589642
Example drug,ACH-000669,0.119571113
Example drug,ACH-000408,0.053330227
Example drug,ACH-002213,0.131726036
Example drug,ACH-000210,0.005814043
Example drug,ACH-000518,0.023596993
Example drug,ACH-002097,0.591251383
Example drug,ACH-001049,0.308275628
Example drug,ACH-002222,0.010690369
Example drug,ACH-000703,0.012938046
Example drug,ACH-002235,0.031628015
Example drug,ACH-000563,0.016843861
Example drug,ACH-000305,0.047380146
Example drug,ACH-000585,0.426903622
Example drug,ACH-002139,0.072318305
Example drug,ACH-000472,0.012059314
Example drug,ACH-002247,0.005361508
Example drug,ACH-002145,0.00775965
Example drug,ACH-000396,0.083923467
Example drug,ACH-000858,0.080772881
Example drug,ACH-000265,0.037286647
Example drug,ACH-000823,0.351513205
Example drug,ACH-000809,2.163324156
Example drug,ACH-000637,8.751148947
Example drug,ACH-000784,6.798330042
Example drug,ACH-002265,1.9902873
Example drug,ACH-002266,0.053981926
Example drug,ACH-002155,0.014957282
Example drug,ACH-000627,0.240062013
Example drug,ACH-000787,0.17717878
Example drug,ACH-001131,0.077194968
Example drug,ACH-000892,2.817336683
Example drug,ACH-002177,0.598523793
Example drug,ACH-000030,0.200100208
Example drug,ACH-002197,0.010081704
Example drug,ACH-000363,0.023046117
Example drug,ACH-000353,0.017083555
Example drug,ACH-000626,0.274340841
Example drug,ACH-002217,0.07308384
Example drug,ACH-000259,0.013067514
Example drug,ACH-000099,0.012364572
Example drug,ACH-000647,0.284249473
Example drug,ACH-000452,0.076530418
Example drug,ACH-000354,0.025715663
Example drug,ACH-000001,0.765064603
Example drug,ACH-000090,0.362001834
Example drug,ACH-000979,0.042372912
Example drug,ACH-000002,0.010546291
Example drug,ACH-000551,0.138280783
Example drug,ACH-000367,3.409027295
Example drug,ACH-000900,0.073796277
Example drug,ACH-000343,0.187678854
Example drug,ACH-000649,0.030363866
Example drug,ACH-000555,0.591751793
Example drug,ACH-000681,0.041292103
Example drug,ACH-000046,0.016019493
Example drug,ACH-001738,0.007240811
Example drug,ACH-001190,0.715523383
Example drug,ACH-000730,0.076719988
Example drug,ACH-001127,0.009112082
Example drug,ACH-000811,0.305224716
Example drug,ACH-000817,0.016892442
Example drug,ACH-001665,0.004139928
Example drug,ACH-002172,0.266445649
Example drug,ACH-000966,0.066012049
Example drug,ACH-001151,2.247631511
Example drug,ACH-000706,4.705603347
Example drug,ACH-000861,0.078548265
Example drug,ACH-000825,0.243753454
Example drug,ACH-000750,0.037406455
Example drug,ACH-002159,0.051851573
Example drug,ACH-000425,0.02622225
Example drug,ACH-000579,2.298489114
Example drug,ACH-002195,0.460648961
Example drug,ACH-002199,0.252249147
Example drug,ACH-001208,1.834013986
Example drug,ACH-000232,0.039334078
Example drug,ACH-000273,0.024516939
Example drug,ACH-000655,0.068081416
Example drug,ACH-000617,3.204810621
Example drug,ACH-000696,0.04750758
Example drug,ACH-000535,0.233890084
Example drug,ACH-000191,0.036995167
Example drug,ACH-001016,0.066865911
Example drug,ACH-002216,0.030116141
Example drug,ACH-002210,0.009247334
Example drug,ACH-000880,0.038144717
Example drug,ACH-000528,0.204213962
Example drug,ACH-000788,0.023343703
Example drug,ACH-000219,0.010917197
Example drug,ACH-000740,0.062005016
Example drug,ACH-001306,0.298232767
Example drug,ACH-000896,0.012151508